event.master_deck,event.relics,event.victory,event.character_chosen,event.items_purchased,event.ascension_level,event.gold_per_floor,event.potions_obtained
"[""AscendersBane"",""Strike_R"",""Strike_R"",""Strike_R"",""Strike_R"",""Strike_R"",""Defend_R"",""Defend_R"",""Defend_R"",""Defend_R"",""Bash"",""Ghostly Armor"",""Warcry""]","[""Burning Blood"",""NeowsBlessing""]",false,IRONCLAD,[],17,"[119,139,139]","[{""floor"":1,""key"":""Weak Potion""},{""floor"":2,""key"":""Ancient Potion""}]"
"[""Defend_G+1"",""Defend_G+1"",""Defend_G"",""Defend_G"",""Strike_G"",""Strike_G"",""Strike_G"",""Strike_G"",""Strike_G"",""Survivor"",""Neutralize"",""Leg Sweep"",""Infinite Blades+1"",""Escape Plan""]","[""Ring of the Snake"",""Mango"",""Bottled Lightning"",""War Paint"",""The Courier""]",false,THE_SILENT,"[""War Paint""]",3,"[118,43,118,128,139,165,165,8,8,8,8,8]","[{""floor"":5,""key"":""SteroidPotion""}]"
"[""Strike_R"",""Strike_R"",""Strike_R"",""Strike_R+1"",""Strike_R"",""Defend_R"",""Defend_R+1"",""Defend_R"",""Defend_R"",""Bash"",""Rupture"",""Bloodletting"",""Armaments+1"",""Seeing Red""]","[""Burning Blood"",""NeowsBlessing"",""Question Card"",""Self Forming Clay""]",false,IRONCLAD,[],7,"[110,110,128,128,144,174,174,174,174]","[{""floor"":1,""key"":""Fire Potion""}]"
"[""Strike_R"",""Strike_R"",""Strike_R"",""Strike_R"",""Strike_R"",""Defend_R"",""Defend_R"",""Defend_R"",""Defend_R"",""Bash""]","[""Burning Blood"",""NeowsBlessing""]",false,IRONCLAD,[],5,"[99,99]",[]
"[""Strike_R"",""Strike_R"",""Strike_R"",""Defend_R"",""Defend_R"",""Defend_R"",""Defend_R"",""Bash"",""Pommel Strike"",""Thunderclap"",""Armaments"",""Double Tap"",""Headbutt"",""Headbutt"",""Feed"",""Fire Breathing+1"",""Body Slam""]","[""Burning Blood"",""NeowsBlessing"",""Pear"",""Unceasing Top"",""Frozen Egg 2"",""Matryoshka""]",false,IRONCLAD,"[""Headbutt""]",2,"[118,129,129,148,148,148,20,55,55,71,71,102,121,121,121]","[{""floor"":1,""key"":""Explosive Potion""},{""floor"":2,""key"":""PowerPotion""},{""floor"":10,""key"":""BloodPotion""}]"
"[""AscendersBane"",""Defend_G"",""Defend_G"",""Defend_G"",""Defend_G"",""Defend_G"",""Strike_G"",""Strike_G"",""Strike_G"",""Strike_G"",""Survivor"",""Neutralize"",""Infinite Blades+1"",""Noxious Fumes""]","[""Ring of the Snake"",""MawBank"",""Mummified Hand""]",false,THE_SILENT,[],13,"[14,14,24,37,51,51,77,107,199,211,223,223]","[{""floor"":1,""key"":""Fire Potion""},{""floor"":3,""key"":""LiquidBronze""},{""floor"":8,""key"":""Block Potion""}]"
"[""Strike_B"",""Strike_B"",""Strike_B"",""Defend_B"",""Defend_B"",""Defend_B"",""Zap"",""Dualcast"",""Fusion"",""Redo"",""Self Repair"",""Leap"",""Fission"",""Leap"",""Doom and Gloom"",""Go for the Eyes"",""Steam"",""Electrodynamics"",""Conserve Battery"",""Streamline+1"",""RitualDagger""]","[""FrozenCore"",""Golden Idol"",""Meat on the Bone"",""Bottled Tornado"",""MawBank"",""Potion Belt"",""Nloth's Gift""]",false,DEFECT,"[""Redo""]",3,"[111,87,104,54,54,92,92,92,92,128,161,173,221,256,268,404,416,444,456,393,405,417,417]","[{""floor"":1,""key"":""Dexterity Potion""},{""floor"":3,""key"":""FocusPotion""},{""floor"":6,""key"":""Explosive Potion""},{""floor"":14,""key"":""GamblersBrew""}]"
"[""Defend_G"",""Defend_G"",""Defend_G"",""Defend_G"",""Defend_G"",""Strike_G"",""Strike_G"",""Strike_G"",""Strike_G"",""Strike_G"",""Survivor"",""Neutralize+1"",""Accuracy"",""Neutralize""]","[""Ring of the Snake""]",false,THE_SILENT,[],6,"[117,127,127,52,69,69,69]","[{""floor"":2,""key"":""Regen Potion""}]"
"[""Strike_R"",""Strike_R"",""Strike_R"",""Strike_R"",""Strike_R"",""Defend_R"",""Defend_R"",""Defend_R"",""Defend_R"",""Bash""]","[""Burning Blood"",""Boot"",""Meat on the Bone"",""Incense Burner""]",false,IRONCLAD,[],0,"[113,126,201,201,215,242,260,260,260,260,260]","[{""floor"":2.0,""key"":""Dexterity Potion""},{""floor"":5.0,""key"":""LiquidBronze""},{""floor"":7,""key"":""EssenceOfSteel""}]"
"[""Defend_G"",""Defend_G"",""Defend_G"",""Defend_G"",""Defend_G"",""Strike_G"",""Strike_G"",""Strike_G"",""Strike_G"",""Strike_G"",""Survivor"",""Neutralize"",""Poisoned Stab"",""Cloak And Dagger"",""Slice"",""Endless Agony"",""Noxious Fumes+1"",""Corpse Explosion"",""Well Laid Plans"",""Flying Knee"",""After Image"",""Skewer"",""Infinite Blades"",""Deadly Poison"",""Setup+1"",""Setup+1""]","[""Ring of the Snake"",""Calipers"",""Ornamental Fan"",""Bronze Scales"",""Centennial Puzzle"",""Potion Belt"",""Eternal Feather"",""The Specimen"",""Torii""]",false,THE_SILENT,"[""Well Laid Plans""]",0,"[117,133,147,147,158,186,186,215,238,95,130,130,140,158,158,253,253,273,284,294,294,309,309,343,357,357,357,357]","[{""floor"":3,""key"":""Block Potion""},{""floor"":4,""key"":""LiquidBronze""},{""floor"":4,""key"":""GhostInAJar""},{""floor"":6,""key"":""EssenceOfSteel""},{""floor"":8,""key"":""EntropicBrew""},{""floor"":14,""key"":""Regen Potion""},{""floor"":16,""key"":""SteroidPotion""},{""floor"":19,""key"":""Fire Potion""},{""floor"":24,""key"":""Dexterity Potion""}]"
"[""Defend_G"",""Defend_G"",""Defend_G"",""Defend_G"",""Defend_G"",""Strike_G"",""Strike_G"",""Strike_G"",""Strike_G"",""Strike_G"",""Survivor"",""Neutralize""]","[""Lizard Tail""]",false,THE_SILENT,[],6,"[99,99]",[]
"[""Defend_R+1"",""Defend_R"",""Defend_R"",""Bash"",""Apotheosis+1"",""Cleave+1"",""Inflame"",""Spot Weakness"",""Reaper+1"",""Flex"",""Double Tap"",""Bite+1"",""Bite+1"",""Bite+1"",""Bite+1"",""Bite+1"",""Metallicize"",""Reaper+1"",""Dropkick+1"",""Shrug It Off"",""Intimidate"",""Limit Break"",""Spot Weakness+1"",""Limit Break"",""Shockwave+1"",""Headbutt+1"",""Seeing Red+1""]","[""Burning Blood"",""Dodecahedron"",""Ornamental Fan"",""Molten Egg 2"",""Magic Flower"",""Fusion Hammer"",""DollysMirror"",""Turnip"",""Bag of Marbles"",""Runic Cube"",""Brimstone"",""Letter Opener"",""Strawberry"",""Anchor"",""Ice Cream""]",true,IRONCLAD,"[""Apotheosis"",""DollysMirror"",""Brimstone"",""Limit Break"",""Anchor""]",3,"[214,50,50,66,76,76,94,124,124,154,154,329,329,339,339,438,438,450,450,467,199,217,217,243,243,266,286,286,299,299,317,317,417,417,431,79,92,107,107,107,133,133,156,156,7,25,125,141,141,141]","[{""floor"":1,""key"":""Dexterity Potion""},{""floor"":8,""key"":""AttackPotion""},{""floor"":10,""key"":""SpeedPotion""},{""floor"":14,""key"":""FearPotion""},{""floor"":20,""key"":""Block Potion""},{""floor"":22,""key"":""SpeedPotion""},{""floor"":27,""key"":""Poison Potion""},{""floor"":29,""key"":""Regen Potion""},{""floor"":37,""key"":""EssenceOfSteel""},{""floor"":46,""key"":""EssenceOfSteel""},{""floor"":47,""key"":""FearPotion""}]"
"[""Strike_B"",""Strike_B"",""Strike_B"",""Defend_B"",""Defend_B"",""Defend_B"",""Defend_B"",""Zap+1"",""Dualcast+1"",""Coolheaded+1"",""Capacitor+1"",""Glacier"",""Glacier""]","[""Cracked Core"",""NeowsBlessing"",""Centennial Puzzle"",""Singing Bowl"",""Happy Flower""]",false,DEFECT,[],4,"[113,113,113,113,124,124,136,136,182,213,213,242,254,271,271,271,271]","[{""floor"":1,""key"":""Dexterity Potion""},{""floor"":7,""key"":""FocusPotion""},{""floor"":12,""key"":""SteroidPotion""},{""floor"":14,""key"":""Poison Potion""}]"
"[""Strike_R"",""Strike_R"",""Strike_R"",""Strike_R"",""Strike_R"",""Defend_R"",""Defend_R"",""Defend_R"",""Defend_R"",""Bash"",""Rupture"",""Whirlwind"",""Thunderclap"",""Flex"",""Bandage Up+1"",""Corruption+1"",""Brutality"",""Searing Blow"",""Blood for Blood""]","[""Burning Blood"",""NeowsBlessing"",""Shuriken"",""Art of War"",""Regal Pillow""]",false,IRONCLAD,[],1,"[118,129,142,142,157,157,192,192,243,275,275,275]","[{""floor"":1.0,""key"":""Poison Potion""},{""floor"":3.0,""key"":""Fire Potion""}]"
"[""Strike_B"",""Strike_B"",""Strike_B"",""Strike_B"",""Defend_B+1"",""Defend_B"",""Defend_B"",""Defend_B"",""Zap"",""Dualcast"",""All For One"",""Sweeping Beam+1"",""Doubt"",""Hologram"",""Hello World"",""Ball Lightning"",""Fusion"",""Reinforced Body"",""White Noise"",""White Noise"",""Rainbow"",""Cold Snap+1"",""Capacitor"",""Stack"",""Go for the Eyes+1"",""Redo"",""Conserve Battery+1"",""Force Field"",""Clumsy"",""Stack+1"",""Amplify"",""Ghostly"",""Ghostly"",""Ghostly"",""Ghostly"",""Ghostly""]","[""Cracked Core"",""Mercury Hourglass"",""Girya"",""Bottled Tornado"",""Molten Egg 2"",""Cursed Key"",""NlothsMask"",""Bronze Scales"",""Gremlin Horn""]",false,DEFECT,"[""Mercury Hourglass"",""Capacitor"",""Stack"",""Go for the Eyes+1""]",4,"[114,289,32,32,44,78,78,78,78,78,97,113,138,103,103,208,208,218,87,100,100,115,115,129,164,164,164,181,216,216,216,216]","[{""floor"":5,""key"":""Swift Potion""},{""floor"":6,""key"":""Energy Potion""},{""floor"":11,""key"":""Regen Potion""},{""floor"":16,""key"":""AttackPotion""},{""floor"":22,""key"":""SkillPotion""},{""floor"":24,""key"":""LiquidBronze""},{""floor"":29,""key"":""LiquidBronze""}]"
"[""Strike_B"",""Strike_B"",""Strike_B"",""Defend_B"",""Defend_B"",""Defend_B"",""Zap"",""Dualcast"",""Beam Cell+1"",""Coolheaded+1"",""Gash"",""Barrage"",""Creative AI"",""Gash"",""Go for the Eyes"",""White Noise"",""Amplify"",""Stack+1"",""Hologram"",""Writhe"",""Ball Lightning""]","[""Cracked Core"",""Orichalcum"",""PreservedInsect"",""Bottled Lightning"",""Inserter"",""ClockworkSouvenir"",""Meat on the Bone""]",false,DEFECT,"[""Barrage"",""Dexterity Potion"",""ClockworkSouvenir"",""Hologram""]",0,"[210,225,244,270,91,91,116,133,133,148,148,148,148,165,165,266,266,278,26,125,125,145,145,145]","[{""floor"":2,""key"":""Poison Potion""},{""floor"":7,""key"":""Fruit Juice""},{""floor"":16,""key"":""FairyPotion""}]"
"[""Strike_R"",""Strike_R+1"",""Strike_R+1"",""Bash+1"",""Flex+1"",""Whirlwind+1"",""Flex+1"",""Limit Break+1"",""Flex+1"",""Offering+1""]","[""Black Blood"",""Bronze Scales"",""Frozen Egg 2"",""MutagenicStrength"",""Old Coin"",""Matryoshka"",""Torii"",""Dodecahedron"",""Runic Cube"",""Red Mask"",""Mango"",""Blue Candle"",""Bag of Marbles"",""Blood Vial""]",true,IRONCLAD,"[""Flex"",""Whirlwind"",""Flex"",""Torii""]",0,"[117,117,135,47,58,58,71,85,138,138,138,164,164,37,37,133,133,143,157,157,557,169,169,183,183,209,209,221,221,238,113,113,217,217,232,246,96,0,0,0,0,45,93,93,93,110,121,121,121,121,121,121,121,153,153]","[{""floor"":3.0,""key"":""SteroidPotion""},{""floor"":8.0,""key"":""Fire Potion""},{""floor"":16.0,""key"":""PowerPotion""},{""floor"":19.0,""key"":""FearPotion""},{""floor"":30.0,""key"":""SkillPotion""},{""floor"":33,""key"":""Poison Potion""},{""floor"":35,""key"":""SteroidPotion""},{""floor"":36,""key"":""Regen Potion""}]"
"[""Strike_B"",""Strike_B"",""Strike_B"",""Strike_B"",""Defend_B"",""Defend_B"",""Defend_B"",""Defend_B"",""Zap"",""Dualcast"",""Chaos+1"",""Cold Snap"",""Beam Cell"",""Self Repair"",""Loop"",""Melter"",""White Noise"",""Echo Form+1"",""Genetic Algorithm+1"",""Ball Lightning"",""Enlightenment"",""BootSequence+1"",""Glacier"",""Ball Lightning"",""Turbo+1""]","[""White Beast Statue"",""Bird Faced Urn"",""Golden Idol"",""Mango"",""WingedGreaves"",""Cursed Key"",""Mummified Hand"",""Regal Pillow"",""Molten Egg 2""]",false,DEFECT,"[""Mummified Hand"",""Glacier""]",1,"[117,292,292,304,318,318,318,334,334,355,355,355,394,410,410,541,541,556,577,577,597,229,272,272,272,321,321,342,267,267,366,366,366,366]","[{""floor"":1,""key"":""Explosive Potion""},{""floor"":4,""key"":""FocusPotion""},{""floor"":5,""key"":""EssenceOfSteel""},{""floor"":8,""key"":""Explosive Potion""},{""floor"":10,""key"":""Fire Potion""},{""floor"":13,""key"":""LiquidBronze""},{""floor"":14,""key"":""Weak Potion""},{""floor"":16,""key"":""Poison Potion""},{""floor"":18,""key"":""FocusPotion""},{""floor"":19,""key"":""GamblersBrew""},{""floor"":21,""key"":""SteroidPotion""},{""floor"":23,""key"":""Energy Potion""},{""floor"":28,""key"":""SteroidPotion""}]"
"[""AscendersBane"",""Strike_B"",""Strike_B"",""Strike_B"",""Defend_B"",""Defend_B+1"",""Defend_B"",""Defend_B"",""Zap"",""Dualcast"",""Impatience+1"",""Steam"",""Cold Snap"",""Go for the Eyes+1"",""Sunder+1"",""Leap"",""Self Repair"",""Gash"",""FTL"",""Hologram""]","[""Cracked Core"",""Smiling Mask"",""Bottled Flame"",""Vajra"",""Bag of Marbles""]",false,DEFECT,"[""Cold Snap"",""Leap""]",15,"[110,110,10,29,29,29,63,63,63,10,40,50,84,104,104,104,104]","[{""floor"":1.0,""key"":""GamblersBrew""},{""floor"":7.0,""key"":""Strength Potion""},{""floor"":11.0,""key"":""Explosive Potion""}]"
"[""Survivor+1"",""Neutralize+1"",""Dagger Throw+1"",""Backflip+1"",""Tactician+1"",""Terror+1"",""Crippling Poison+1""]","[""Ring of the Snake"",""Strawberry"",""Incense Burner"",""Astrolabe"",""Potion Belt"",""The Courier"",""Lantern"",""Membership Card"",""Runic Pyramid"",""Unceasing Top"",""Juzu Bracelet"",""Medical Kit"",""Bag of Preparation"",""Vajra"",""Bronze Scales""]",true,THE_SILENT,"[""Tactician"",""Membership Card"",""Medical Kit"",""Vajra""]",0,"[119,44,44,44,54,54,72,72,98,112,112,112,128,58,58,158,158,169,187,187,187,286,304,319,319,319,234,248,42,62,77,77,172,172,183,120,135,135,135,135,235,263,286,135,166,181,181,195,195,195,195,195,45,75,75]","[{""floor"":1,""key"":""EssenceOfSteel""},{""floor"":4,""key"":""EntropicBrew""},{""floor"":4,""key"":""Energy Potion""},{""floor"":16,""key"":""EssenceOfSteel""},{""floor"":18,""key"":""Block Potion""},{""floor"":24,""key"":""Strength Potion""},{""floor"":33,""key"":""Fire Potion""},{""floor"":37,""key"":""Energy Potion""},{""floor"":45,""key"":""Energy Potion""},{""floor"":46,""key"":""GhostInAJar""},{""floor"":48,""key"":""AttackPotion""}]"
"[""AscendersBane"",""Strike_B"",""Strike_B"",""Defend_B"",""Defend_B"",""Defend_B"",""Defend_B"",""Zap+1"",""Dualcast"",""Auto Shields"",""Chill"",""Genetic Algorithm"",""Hologram+1"",""Darkness"",""Sweeping Beam"",""Gash"",""Gash"",""Rainbow"",""White Noise"",""Leap"",""Self Repair"",""Loop+1"",""Hologram""]","[""Cracked Core"",""Bag of Marbles"",""Peace Pipe"",""Strawberry"",""Orichalcum"",""Cursed Key"",""Runic Capacitor""]",false,DEFECT,"[""Runic Capacitor"",""Self Repair""]",12,"[113,113,113,127,137,162,177,194,217,217,227,242,242,258,258,362,362,375,395,51,70,86,86,86]","[{""floor"":5.0,""key"":""EssenceOfSteel""},{""floor"":6.0,""key"":""Weak Potion""},{""floor"":11,""key"":""Energy Potion""},{""floor"":14,""key"":""LiquidBronze""},{""floor"":22,""key"":""Explosive Potion""}]"
"[""Strike_R"",""Strike_R"",""Strike_R"",""Strike_R"",""Defend_R"",""Defend_R"",""Defend_R"",""Defend_R"",""Bash"",""Clash"",""Dual Wield"",""Armaments"",""Barricade+1"",""Limit Break"",""Anger"",""Pommel Strike"",""Flex"",""Blood for Blood+1"",""Demon Form+1"",""Heavy Blade"",""Power Through+1"",""Disarm+1""]","[""Burning Blood"",""Ornamental Fan"",""Medical Kit"",""Velvet Choker""]",false,IRONCLAD,"[""Armaments"",""Medical Kit""]",0,"[119,119,95,270,286,286,314,314,314,325,59,76,92,102,102,197,197,209,225,236,254,266,266,266,266]","[{""floor"":7.0,""key"":""Regen Potion""},{""floor"":10,""key"":""GamblersBrew""},{""floor"":13,""key"":""Strength Potion""},{""floor"":14,""key"":""Fire Potion""},{""floor"":16,""key"":""PowerPotion""},{""floor"":20,""key"":""Dexterity Potion""},{""floor"":22,""key"":""Dexterity Potion""}]"
"[""Strike_B+1"",""Strike_B"",""Strike_B"",""Strike_B"",""Defend_B"",""Defend_B"",""Defend_B+1"",""Zap"",""Dualcast"",""Auto Shields+1"",""Coolheaded"",""Conserve Battery"",""Fission"",""Capacitor""]","[""White Beast Statue"",""Darkstone Periapt"",""Singing Bowl"",""Bag of Marbles""]",false,DEFECT,"[""Capacitor"",""Bag of Marbles""]",2,"[118,137,212,226,226,226,242,276,276,276,290,290,304,42,42,42,42]","[{""floor"":1,""key"":""Weak Potion""},{""floor"":2,""key"":""Weak Potion""},{""floor"":4,""key"":""Swift Potion""},{""floor"":7,""key"":""FearPotion""},{""floor"":8,""key"":""Energy Potion""},{""floor"":11,""key"":""SteroidPotion""},{""floor"":13,""key"":""PowerPotion""}]"
"[""Strike_R"",""Strike_R"",""Strike_R"",""Defend_R+1"",""Defend_R"",""Defend_R"",""Defend_R"",""Bash"",""Warcry+1"",""Armaments+1"",""Shockwave"",""Feel No Pain+1"",""Cleave"",""Bludgeon"",""Thunderclap"",""Headbutt"",""Metallicize+1"",""Immolate"",""Armaments+1"",""Sentinel+1"",""Pommel Strike"",""Purity"",""True Grit+1""]","[""Burning Blood"",""WarpedTongs"",""Darkstone Periapt"",""War Paint"",""Vajra"",""Empty Cage"",""Dead Branch"",""Juzu Bracelet"",""Singing Bowl""]",false,IRONCLAD,"[""Feel No Pain"",""Metallicize"",""Dead Branch"",""Purity"",""Juzu Bracelet"",""Singing Bowl""]",4,"[113,113,123,135,22,22,36,36,36,66,80,67,28,51,51,155,155,168,178,453,473,493,493,493,513,536,536,45,405,11,31,31,31,31]","[{""floor"":4,""key"":""PowerPotion""},{""floor"":7,""key"":""Strength Potion""},{""floor"":10,""key"":""LiquidBronze""},{""floor"":19,""key"":""SkillPotion""},{""floor"":21,""key"":""FearPotion""},{""floor"":25,""key"":""EssenceOfSteel""}]"
"[""AscendersBane"",""Strike_R"",""Strike_R"",""Strike_R+1"",""Defend_R"",""Defend_R"",""Defend_R+1"",""Defend_R"",""Bash"",""Sever Soul"",""Shockwave"",""Spot Weakness"",""Limit Break""]","[""Burning Blood"",""Dodecahedron"",""Bottled Lightning"",""Anchor"",""Question Card""]",false,IRONCLAD,[],14,"[115,125,125,136,61,80,112,77,77,77,77,77,89,114,114,114,114]","[{""floor"":4,""key"":""EssenceOfSteel""},{""floor"":7,""key"":""Fire Potion""}]"
"[""Strike_B"",""Strike_B"",""Strike_B"",""Defend_B"",""Defend_B"",""Defend_B"",""Zap"",""Dualcast"",""Streamline+1"",""Coolheaded+1"",""Compile Driver"",""Machine Learning"",""BootSequence"",""Seek"",""Amplify"",""Steam"",""Coolheaded""]","[""Cracked Core"",""Bottled Lightning"",""Lizard Tail""]",false,DEFECT,[],3,"[112,127,140,140,152,182,182,200,226,246,246,264,276,276,276,378,378,394,407,407,407]","[{""floor"":2,""key"":""Fire Potion""},{""floor"":5,""key"":""PowerPotion""},{""floor"":6,""key"":""Explosive Potion""},{""floor"":8,""key"":""FearPotion""},{""floor"":12,""key"":""Dexterity Potion""}]"
"[""Strike_R"",""Strike_R"",""Strike_R"",""Strike_R"",""Strike_R"",""Defend_R"",""Defend_R"",""Defend_R"",""Defend_R"",""Bash"",""Clash"",""Clash"",""Fire Breathing"",""Flex"",""Inflame"",""Anger"",""Entrench""]","[""Burning Blood"",""Blue Candle"",""Self Forming Clay"",""Question Card"",""Kunai"",""The Courier"",""Golden Idol""]",false,IRONCLAD,[],0,"[112,112,112,129,139,169,169,180,180,180,214,233,233,285,285,285,285]","[{""floor"":6,""key"":""Dexterity Potion""},{""floor"":11,""key"":""Energy Potion""},{""floor"":12,""key"":""EssenceOfSteel""}]"
"[""AscendersBane"",""Strike_B"",""Strike_B"",""Strike_B"",""Defend_B"",""Defend_B"",""Defend_B"",""Defend_B"",""Zap+1"",""Dualcast"",""Redo+1"",""Thunder Strike+1"",""Auto Shields+1"",""Reboot"",""Core Surge""]","[""Cracked Core"",""NeowsBlessing"",""Golden Idol"",""Blood Vial"",""Lantern"",""Sundial"",""Nuclear Battery""]",false,DEFECT,"[""Thunder Strike""]",10,"[118,118,193,49,63,106,106,121,171,171,96,96,111,144,144,263,263,278,278,278]","[{""floor"":5,""key"":""Energy Potion""},{""floor"":6,""key"":""Weak Potion""},{""floor"":8,""key"":""Weak Potion""},{""floor"":13,""key"":""Swift Potion""},{""floor"":18,""key"":""SpeedPotion""}]"
"[""Strike_R"",""Strike_R"",""Strike_R"",""Strike_R"",""Defend_R"",""Defend_R"",""Defend_R"",""Bash"",""Barricade+1"",""Rampage"",""Body Slam"",""Battle Trance"",""Spot Weakness"",""Metallicize"",""Armaments+1"",""Seeing Red"",""Pommel Strike"",""Feed"",""Cleave"",""RitualDagger"",""Shrug It Off"",""Iron Wave"",""True Grit"",""Heavy Blade"",""Armaments+1""]","[""Burning Blood"",""Pen Nib"",""Paper Frog"",""Art of War"",""Shuriken"",""Philosopher's Stone"",""Happy Flower"",""FaceOfCleric""]",false,IRONCLAD,"[""Shrug It Off"",""Iron Wave"",""True Grit"",""Happy Flower""]",0,"[12,27,41,41,59,93,93,128,178,253,253,265,265,284,284,382,382,393,393,49,61,61,61,76,76,76]","[{""floor"":2,""key"":""AttackPotion""},{""floor"":5,""key"":""SkillPotion""},{""floor"":14,""key"":""Explosive Potion""},{""floor"":18,""key"":""Poison Potion""},{""floor"":21,""key"":""Block Potion""}]"
"[""Strike_R"",""Strike_R"",""Strike_R"",""Strike_R"",""Strike_R"",""Defend_R"",""Defend_R"",""Defend_R"",""Defend_R"",""Bash""]","[""Burning Blood""]",false,IRONCLAD,[],1,"[99,99]",[]
"[""Strike_R"",""Strike_R"",""Strike_R"",""Strike_R"",""Strike_R"",""Defend_R"",""Defend_R"",""Defend_R"",""Defend_R+1"",""Bash+1"",""Spot Weakness+1"",""Impervious"",""Pommel Strike"",""HandOfGreed"",""Shrug It Off"",""Uppercut+1"",""Reaper+1"",""Normality"",""Regret"",""Writhe"",""Shrug It Off""]","[""Black Star"",""Kunai"",""War Paint"",""Ornamental Fan"",""Mummified Hand"",""Thread and Needle"",""Molten Egg 2"",""Lantern"",""Calling Bell"",""WingedGreaves"",""Pear"",""Bag of Preparation"",""GremlinMask"",""Brimstone""]",false,IRONCLAD,"[""HandOfGreed"",""Shrug It Off"",""Brimstone""]",4,"[118,138,138,138,138,170,170,170,252,252,283,44,77,115,115,211,211,251,251,251,251,46,46,46]","[{""floor"":6,""key"":""Regen Potion""},{""floor"":11,""key"":""Swift Potion""},{""floor"":14,""key"":""EssenceOfSteel""},{""floor"":18,""key"":""BloodPotion""}]"
"[""Defend_B+1"",""Defend_B+1"",""Dualcast+1"",""Chill"",""Conserve Battery+1"",""Sweeping Beam+1"",""Leap"",""Coolheaded"",""Undo"",""Sweeping Beam"",""Coolheaded"",""Creative AI"",""Turbo"",""Turbo"",""Double Energy"",""Heatsinks"",""Lockon"",""Bite"",""Bite"",""Bite"",""Bite"",""Bite"",""Auto Shields"",""Cold Snap+1"",""Double Energy"",""Conserve Battery""]","[""Cracked Core"",""Potion Belt"",""Kunai"",""Mango"",""Cursed Key"",""Red Mask"",""Bag of Preparation"",""Bottled Flame""]",false,DEFECT,"[""Conserve Battery"",""Sweeping Beam"",""Conserve Battery""]",0,"[119,119,50,50,63,63,63,63,63,63,97,107,118,128,128,224,224,244,254,286,286,286,286,304,323,375,375,400,400,279,279,279,279,279]","[{""floor"":5,""key"":""Dexterity Potion""},{""floor"":12,""key"":""AttackPotion""},{""floor"":14,""key"":""LiquidBronze""},{""floor"":16,""key"":""SkillPotion""},{""floor"":19,""key"":""Strength Potion""},{""floor"":24,""key"":""GamblersBrew""},{""floor"":28,""key"":""LiquidBronze""}]"
"[""Strike_B"",""Strike_B"",""Strike_B"",""Strike_B"",""Defend_B"",""Defend_B"",""Defend_B"",""Defend_B"",""Zap+1"",""Dualcast"",""Glacier"",""Rip and Tear"",""Double Energy+1"",""Steam"",""Conserve Battery+1"",""Core Surge"",""Beam Cell"",""Conserve Battery"",""All For One"",""FTL"",""Capacitor+1"",""Cold Snap"",""Go for the Eyes"",""Leap"",""Loop"",""Defragment+1"",""Discovery"",""BootSequence"",""Consume"",""Consume"",""Defragment"",""Self Repair+1"",""Beam Cell+1"",""J.A.X."",""Thunder Strike"",""Barrage+1"",""Beam Cell+1"",""Go for the Eyes"",""Chaos+1"",""Regret"",""Ball Lightning+1"",""Hologram+1"",""Gash"",""Gash"",""Self Repair"",""Panache+1"",""Gash+1"",""Beam Cell"",""Beam Cell+1""]","[""Cracked Core"",""Incense Burner"",""WarpedTongs"",""Matryoshka"",""Prayer Wheel"",""Orrery"",""Ancient Tea Set"",""Happy Flower"",""Mercury Hourglass"",""Enchiridion"",""Black Star"",""Cables"",""Juzu Bracelet"",""Anchor"",""Bag of Preparation"",""Frozen Egg 2"",""DataDisk""]",false,DEFECT,"[""Defragment"",""Discovery"",""Cables"",""DataDisk"",""Panache+1""]",0,"[116,116,132,57,68,88,88,88,88,88,100,100,127,145,145,243,243,259,111,111,111,123,123,133,164,164,164,180,180,180,180,180,275,275,287,301,52,327,345,345,356,383,383,383,44,56,56,67,67,67,67]","[{""floor"":1,""key"":""Strength Potion""},{""floor"":3,""key"":""LiquidBronze""},{""floor"":13,""key"":""AttackPotion""},{""floor"":22,""key"":""Energy Potion""},{""floor"":35,""key"":""AttackPotion""},{""floor"":39,""key"":""SkillPotion""},{""floor"":42,""key"":""Dexterity Potion""},{""floor"":48,""key"":""Weak Potion""}]"
"[""AscendersBane"",""Defend_G"",""Defend_G"",""Defend_G"",""Defend_G"",""Defend_G+1"",""Strike_G"",""Strike_G"",""Strike_G"",""Strike_G"",""Survivor"",""Neutralize+1"",""Deadly Poison+1"",""Crippling Poison+1"",""PiercingWail"",""Backflip""]","[""Ring of the Snake"",""Matryoshka"",""Blood Vial"",""War Paint"",""Vajra"",""Ancient Tea Set""]",false,THE_SILENT,[],10,"[118,118,133,133,58,92,106,106,160,193,211,231,231,231]","[{""floor"":3,""key"":""Swift Potion""},{""floor"":7,""key"":""FearPotion""},{""floor"":10,""key"":""SneckoOil""}]"
"[""Strike_B"",""Strike_B"",""Strike_B"",""Strike_B"",""Defend_B"",""Defend_B"",""Defend_B"",""Defend_B"",""Zap"",""Dualcast"",""Meteor Strike"",""Loop"",""Coolheaded"",""Go for the Eyes"",""Hologram"",""Beam Cell"",""Doubt"",""Ball Lightning"",""Redo""]","[""Cracked Core"",""Meat on the Bone"",""Singing Bowl""]",false,DEFECT,[],2,"[118,118,131,147,160,160,192,367,416,428,428,444,444,444,444]","[{""floor"":1,""key"":""Dexterity Potion""},{""floor"":5,""key"":""SpeedPotion""},{""floor"":12,""key"":""Block Potion""}]"
